,str_id,src,dst,road,direction,dist
230,1010003400,남산1호터널북단,퇴계로2가,삼일대로,하행,644
231,1010003500,염천교,중림동입구,칠패로,상행,239
232,1010003600,중림동입구,염천교,칠패로,하행,232
233,1010003700,퇴계로5가,장충체육관,동호로,상행,717
234,1010003800,장충체육관,퇴계로5가,동호로,하행,698
235,1010003900,숭례문,염천교,칠패로,상행,394
236,1010004000,염천교,숭례문,칠패로,하행,317
237,1010004100,상수도사업본부,중림동입구,청파로,상행,290
238,1010004200,중림동입구,상수도사업본부,청파로,하행,285
239,1010004300,경찰청앞,염천교,통일로,하행,309
240,1010004400,염천교,경찰청앞,통일로,상행,311
241,1010004500,퇴계로2가,회현사거리,퇴계로,하행,630
242,1010004600,회현사거리,퇴계로2가,퇴계로,상행,624
243,1010004700,퇴계로2가,충무로역,퇴계로,상행,377
244,1010004800,충무로역,퇴계로2가,퇴계로,하행,377
245,1010004900,한국은행앞,회현사거리,소공로,상행,188
246,1010005000,회현사거리,한국은행앞,소공로,하행,185
247,1010005100,한국은행앞,숭례문,남대문로,상행,533
248,1010005200,숭례문,한국은행앞,남대문로,하행,544
249,1010005300,광희동사거리,장충체육관,장충단로,하행,593
250,1010005400,장충체육관,광희동사거리,장충단로,상행,588
251,1010005500,퇴계로4가,충무로역,퇴계로,하행,482
252,1010005600,충무로역,퇴계로4가,퇴계로,상행,484
253,1010005700,경찰청앞,상수도사업본부,서소문로,상행,200
254,1010005800,상수도사업본부,경찰청앞,서소문로,하행,199
255,1010005900,시청역,숭례문,세종대로,상행,401
256,1010006000,숭례문,시청역,세종대로,하행,401
257,1010006100,광희문,청구역,금호로,하행,674
258,1010006200,청구역,광희문,금호로,상행,660
259,1010006600,충무로역,명보사거리,충무로,상행,363
260,1010006700,신당역,청구역,다산로,상행,604
261,1010006800,청구역,신당역,다산로,하행,609
262,1010006900,퇴계로5가,퇴계로4가,퇴계로,하행,373
263,1010007000,퇴계로4가,퇴계로5가,퇴계로,상행,373
264,1010007100,명동입구,한국은행앞,남대문로,상행,205
265,1010007200,한국은행앞,명동입구,남대문로,하행,208
266,1010007300,시청역,경찰청앞,서소문로,상행,686
267,1010007400,경찰청앞,시청역,서소문로,하행,683
268,1010007500,웨스턴조선호텔,한국은행앞,소공로,상행,278
269,1010007600,한국은행앞,웨스턴조선호텔,소공로,하행,278
